dt,client_id,country,orders,value
2025-08-25,138,Canada,4,152.09
2025-08-10,262,Germany,5,745.51
2025-08-31,691,France,4,1487.38
2025-09-22,115,Canada,4,556.65
2025-11-19,701,Germany,4,726.93
2025-06-01,840,Mexico,2,103.63
2025-07-01,375,Japan,3,1044.58
2025-10-06,640,Mexico,5,662.57
2025-06-11,492,USA,3,1171.39
2025-08-19,320,USA,1,479.3
2025-10-23,864,Brazil,3,296.58
2025-11-24,677,Japan,4,1324.1
2025-09-07,350,USA,3,1320.11
2025-07-21,1000,India,2,570.74
2025-06-06,941,Germany,1,188.48
2025-07-20,729,France,5,1268.38
2025-06-24,83,Germany,3,1335.77
2025-07-05,255,Germany,1,498.99
2025-08-15,936,UK,2,396.54
2025-10-07,863,Brazil,1,418.15
2025-08-06,616,UK,1,420.4
2025-07-22,926,Mexico,3,382.41
2025-09-21,967,Mexico,4,224.72
2025-07-07,895,UK,3,1029.18
2025-08-22,76,Brazil,4,342.44
2025-09-14,225,France,4,1625.79
2025-09-09,449,Mexico,4,715.94
2025-09-18,276,France,5,891.41
2025-09-16,596,Mexico,1,148.8
2025-06-10,278,France,1,378.43
2025-09-23,332,Japan,2,229.33
2025-11-12,652,India,3,908.08
2025-07-24,756,Japan,4,201.47
2025-07-26,363,India,1,147.17
2025-11-23,348,Germany,5,2328.23
2025-08-11,303,India,2,36.56
2025-10-08,56,Brazil,2,198.48
2025-08-23,723,Germany,3,1128.79
2025-07-31,716,France,1,133.19
2025-09-13,733,France,2,272.62
2025-08-28,117,Japan,4,315.23
2025-11-18,465,Brazil,4,159.72
2025-06-18,131,Canada,3,1282.43
2025-11-07,872,France,5,1517.79
2025-11-01,168,Mexico,5,250.2
2025-11-20,485,USA,1,187.65
2025-06-02,483,Australia,1,295.19
2025-10-08,383,Germany,2,130.49
2025-06-09,654,India,5,1570.09
2025-11-27,487,UK,1,95.16
2025-09-14,110,UK,3,140.36
2025-11-03,403,USA,1,11.55
2025-09-09,212,Brazil,2,117.2
2025-08-10,603,Brazil,5,1403.58
2025-08-15,277,Germany,4,204.73
2025-07-01,313,UK,2,358.6
2025-06-02,859,Japan,5,2452.95
2025-10-03,662,Brazil,4,1219.59
2025-11-10,485,USA,5,596.1
2025-10-02,659,Australia,4,118.13
2025-09-21,189,Australia,1,161.68
2025-06-19,191,Mexico,1,234.19
2025-07-07,180,India,4,715.01
2025-10-06,737,USA,2,281.13
2025-07-14,485,USA,2,920.36
2025-08-24,414,France,1,266.05
2025-10-15,516,Brazil,4,1398.75
2025-06-09,37,Canada,3,992.88
2025-11-14,260,USA,4,1923.08
2025-07-30,329,India,4,1858.75
2025-11-07,822,UK,2,512.62
2025-07-16,370,Mexico,5,1496.86
2025-08-31,441,Brazil,2,27.37
2025-06-06,128,Japan,5,2494.97
2025-10-11,77,Australia,4,289.73
2025-06-07,274,Mexico,4,758.53
2025-10-11,348,Germany,5,2135.5
2025-09-19,368,Mexico,2,936.46
